社區名稱,交易年月日,地址,所在樓層,房屋坪數,交易價格,估值
松仁社區,20230101,台北市信義區松仁路100號,3,25.5,1580,1520
松仁社區,20230105,台北市信義區松仁路102號,5,30.2,1850,1780
松仁社區,20230110,台北市信義區松仁路104號,8,35.8,2100,2050
松仁社區,20230115,台北市信義區松仁路106號,10,40.5,2350,2280
松仁社區,20230201,台北市信義區松仁路108號,2,22.3,1450,1400
松仁社區,20230205,台北市信義區松仁路110號,4,28.7,1750,1700
松仁社區,20230210,台北市信義區松仁路112號,6,32.5,1950,1900
松仁社區,20230215,台北市信義區松仁路114號,9,38.2,2250,2200
松仁社區,20230301,台北市信義區松仁路116號,1,20.8,1350,1300
松仁社區,20230305,台北市信義區松仁路118號,3,26.4,1650,1600
松仁社區,20230310,台北市信義區松仁路120號,5,31.6,1900,1850
松仁社區,20230315,台北市信義區松仁路122號,7,36.9,2200,2150
松仁社區,20230401,台北市信義區松仁路124號,2,23.7,1500,1450
松仁社區,20230405,台北市信義區松仁路126號,4,29.3,1800,1750
松仁社區,20230410,台北市信義區松仁路128號,6,33.8,2000,1950
松仁社區,20230415,台北市信義區松仁路130號,8,39.4,2300,2250
